UniProt,MitoCarta3.0_SubMitoLocalization
Q6L8Q7,Matrix
Q13232,MOM
Q7L2E3,Matrix
Q14296,MIM
A6NJ78,Matrix
Q07973,MIM
Q9UK39,Matrix
Q9BZ23,IMS
P35218,Matrix
Q9H857,Matrix
Q5T9A4,MIM
O95900,Matrix
P17612,MIM
Q86VU5,Membrane
Q8TCG5,MOM
Q6P1S2,Matrix
Q7L4E1,MOM
Q7KZF4,unknown
P49448,Matrix
Q96IR7,unknown
Q5VTE6,Matrix
Q9BQD7,MIM
Q6UW78,MIM
Q13162,IMS
Q96SZ6,Matrix
P22234,Matrix
Q8TDB4,Membrane
Q9BSH5,Matrix
P19099,MIM
Q9NRZ5,MOM
Q96I51,Matrix
Q8N0U4,Matrix
Q13794,MOM
Q9Y2W6,Membrane
Q6J4K2,MIM
O15528,MIM
Q9UHN1,Matrix
Q8N1Q8,Matrix
Q13323,MOM
Q99551,Matrix
Q6P444,Membrane
P36969,MIM
Q6UXN7,MOM
P21964,Membrane
Q86UA3,Matrix
Q8TB22,Matrix
Q9BYC2,Matrix
Q96BQ5,Membrane
Q16526,unknown
Q68CK6,Matrix
Q96H55,MOM
Q9BQP7,Matrix
O43236,MOM
Q9BUP0,MIM
Q9BUV8,MIM
P27695,Matrix
O15270,Membrane
Q96GE9,MIM
Q6P4H8,MIM
Q8WWR8,MOM
P55211,IMS
Q53H12,MIM
Q07820,MOM
Q9NX74,Matrix
Q8N2A8,MOM
Q15785,MOM
O15091,Matrix
Q9NRY6,MIM
0,MIM
O75438,MIM
B4DJ38,unknown
Q14790,MOM
Q07817,MOM
Q9NVH0,Matrix
Q8N2F6,MOM
Q96C03,MOM
Q9NWX6,Matrix
Q9H4A6,IMS
Q4J6C6,Matrix
Q14CZ7,Matrix
Q96ST8,IMS
Q6NUI2,MOM
Q14596,IMS
Q9UMX3,MOM
Q96AY3,IMS
Q8NE22,Matrix
P15538,MIM
A8MUP2,Matrix
Q8NAN2,MOM
P49247,Matrix
Q96PG8,MOM
Q92934,MOM
P10415,MOM
Q16548,MOM
Q92843,MOM
P42574,IMS
Q09013,MOM
P51530,Matrix
P03923,MIM
O60260,MOM
Q13686,Matrix
Q9NRD5,unknown
Q9HD36,MOM
O43572,MOM
Q9Y6J8,Matrix
Q08J23,Matrix
Q96PN6,Membrane
Q9NRA0,MIM
Q9H649,Matrix
Q96DU9,Matrix
Q8N3Z0,unknown
Q96LW4,Matrix
Q96JX3,MOM
P56962,MOM
Q9BVS5,Matrix
O00408,MIM
Q9HBL7,Membrane
Q8IXQ9,Matrix
Q7L3V2,MOM
O43521,MOM
Q08AE8,MOM
Q8N8R5,Matrix
Q7L311,Membrane
Q9P291,MOM
P06746,Matrix
O95721,IMS
Q9UH62,MOM
Q7L4S7,Membrane
Q8N3J2,Matrix
Q2M3C7,MIM
Q8N9F0,Membrane
P59942,unknown
A0A0B4J2F0,MOM
P86397,Matrix
0,MIM
